番号区画コード,MA,番号,市外局番,市内局番,事業者,使用状況,備考
001,札幌,011521,011,521,東日本電信電話株式会社,使用中,
001,札幌,011522,011,522,東日本電信電話株式会社,使用中,
001,札幌,011523,011,523,,未使用,
001,札幌,011524,011,524,,未使用,
001,札幌,011525,011,525,,未使用,
001,札幌,011526,011,526,,未使用,
001,札幌,011527,011,527,,未使用,
001,札幌,011528,011,528,,未使用,
001,札幌,011529,011,529,,未使用,
001,札幌,011530,011,530,東日本電信電話株式会社,使用中,
001,札幌,011531,011,531,東日本電信電話株式会社,使用中,
001,札幌,011532,011,532,東日本電信電話株式会社,使用中,
001,札幌,011533,011,533,東日本電信電話株式会社,使用中,
001,札幌,011534,011,534,,未使用,
001,札幌,011535,011,535,,未使用,
001,札幌,011536,011,536,,未使用,
001,札幌,011537,011,537,,未使用,
001,札幌,011538,011,538,,未使用,
001,札幌,011539,011,539,,未使用,
001,札幌,011540,011,540,,未使用,
001,札幌,011541,011,541,,未使用,
001,札幌,011542,011,542,,未使用,
001,札幌,011543,011,543,,未使用,
001,札幌,011544,011,544,,未使用,
001,札幌,011545,011,545,,未使用,
001,札幌,011546,011,546,,未使用,
001,札幌,011547,011,547,,未使用,
001,札幌,011548,011,548,,未使用,
001,札幌,011549,011,549,,未使用,
001,札幌,011550,011,550,,未使用,
001,札幌,011551,011,551,東日本電信電話株式会社,使用中,
001,札幌,011552,011,552,東日本電信電話株式会社,使用中,
001,札幌,011553,011,553,,未使用,
001,札幌,011554,011,554,,未使用,
001,札幌,011555,011,555,ＫＤＤＩ株式会社,使用中,
001,札幌,011556,011,556,ＫＤＤＩ株式会社,使用中,
001,札幌,011557,011,557,ＫＤＤＩ株式会社,使用中,
001,札幌,011558,011,558,ＫＤＤＩ株式会社,使用中,
001,札幌,011559,011,559,,未使用,
001,札幌,011560,011,560,,未使用,
001,札幌,011561,011,561,東日本電信電話株式会社,使用中,
001,札幌,011562,011,562,東日本電信電話株式会社,使用中,
001,札幌,011563,011,563,東日本電信電話株式会社,使用中,
001,札幌,011564,011,564,,未使用,
001,札幌,011565,011,565,,未使用,
001,札幌,011566,011,566,,未使用,
001,札幌,011567,011,567,,未使用,
001,札幌,011568,011,568,,未使用,
001,札幌,011569,011,569,,未使用,
001,札幌,011570,011,570,,未使用,
001,札幌,011571,011,571,東日本電信電話株式会社,使用中,
001,札幌,011572,011,572,東日本電信電話株式会社,使用中,
001,札幌,011573,011,573,東日本電信電話株式会社,使用中,
001,札幌,011574,011,574,,未使用,
001,札幌,011575,011,575,,未使用,
001,札幌,011576,011,576,,未使用,
001,札幌,011577,011,577,ＫＤＤＩ株式会社,使用中,
001,札幌,011578,011,578,東日本電信電話株式会社,使用中,
001,札幌,011579,011,579,,未使用,
001,札幌,011580,011,580,,未使用,
001,札幌,011581,011,581,東日本電信電話株式会社,使用中,
001,札幌,011582,011,582,東日本電信電話株式会社,使用中,
001,札幌,011583,011,583,東日本電信電話株式会社,使用中,
001,札幌,011584,011,584,東日本電信電話株式会社,使用中,
001,札幌,011585,011,585,東日本電信電話株式会社,使用中,
001,札幌,011586,011,586,,未使用,
001,札幌,011587,011,587,,未使用,
001,札幌,011588,011,588,東日本電信電話株式会社,使用中,
001,札幌,011589,011,589,,未使用,
001,札幌,011590,011,590,東日本電信電話株式会社,使用中,
001,札幌,011591,011,591,東日本電信電話株式会社,使用中,
001,札幌,011592,011,592,東日本電信電話株式会社,使用中,
001,札幌,011593,011,593,東日本電信電話株式会社,使用中,
001,札幌,011594,011,594,東日本電信電話株式会社,使用中,
001,札幌,011595,011,595,東日本電信電話株式会社,使用中,
001,札幌,011596,011,596,東日本電信電話株式会社,使用中,
001,札幌,011597,011,597,,未使用,
001,札幌,011598,011,598,東日本電信電話株式会社,使用中,
001,札幌,011599,011,599,,未使用,
001,札幌,011600,011,600,アルテリア・ネットワークス株式会社,使用中,
001,札幌,011601,011,601,,未使用,
001,札幌,011602,011,602,,未使用,
001,札幌,011603,011,603,,未使用,
001,札幌,011604,011,604,,未使用,
001,札幌,011605,011,605,,未使用,
001,札幌,011606,011,606,,未使用,
001,札幌,011607,011,607,,未使用,
001,札幌,011608,011,608,,未使用,
001,札幌,011609,011,609,,未使用,
001,札幌,011610,011,610,,未使用,
001,札幌,011611,011,611,東日本電信電話株式会社,使用中,
001,札幌,011612,011,612,東日本電信電話株式会社,使用中,
001,札幌,011613,011,613,東日本電信電話株式会社,使用中,
001,札幌,011614,011,614,東日本電信電話株式会社,使用中,
001,札幌,011615,011,615,東日本電信電話株式会社,使用中,
001,札幌,011616,011,616,東日本電信電話株式会社,使用中,
001,札幌,011617,011,617,,未使用,
001,札幌,011618,011,618,東日本電信電話株式会社,使用中,
001,札幌,011619,011,619,,未使用,
001,札幌,011620,011,620,,未使用,
001,札幌,011621,011,621,東日本電信電話株式会社,使用中,
001,札幌,011622,011,622,東日本電信電話株式会社,使用中,
001,札幌,011623,011,623,東日本電信電話株式会社,使用中,
001,札幌,011624,011,624,東日本電信電話株式会社,使用中,
001,札幌,011625,011,625,,未使用,
001,札幌,011626,011,626,,未使用,
001,札幌,011627,011,627,,未使用,
001,札幌,011628,011,628,,未使用,
001,札幌,011629,011,629,,未使用,
001,札幌,011630,011,630,,未使用,
001,札幌,011631,011,631,東日本電信電話株式会社,使用中,
001,札幌,011632,011,632,東日本電信電話株式会社,使用中,
001,札幌,011633,011,633,東日本電信電話株式会社,使用中,
001,札幌,011634,011,634,,未使用,
001,札幌,011635,011,635,,未使用,
001,札幌,011636,011,636,,未使用,
001,札幌,011637,011,637,,未使用,
001,札幌,011638,011,638,,未使用,
001,札幌,011639,011,639,,未使用,
001,札幌,011640,011,640,東日本電信電話株式会社,使用中,
001,札幌,011641,011,641,東日本電信電話株式会社,使用中,
001,札幌,011642,011,642,東日本電信電話株式会社,使用中,
001,札幌,011643,011,643,東日本電信電話株式会社,使用中,
001,札幌,011644,011,644,東日本電信電話株式会社,使用中,
001,札幌,011645,011,645,,未使用,
001,札幌,011646,011,646,,未使用,
001,札幌,011647,011,647,,未使用,
001,札幌,011648,011,648,,未使用,
001,札幌,011649,011,649,,未使用,
001,札幌,011650,011,650,,未使用,
001,札幌,011651,011,651,,未使用,
001,札幌,011652,011,652,,未使用,
001,札幌,011653,011,653,,未使用,
001,札幌,011654,011,654,,未使用,
001,札幌,011655,011,655,,未使用,
001,札幌,011656,011,656,,未使用,
001,札幌,011657,011,657,,未使用,
001,札幌,011658,011,658,,未使用,
001,札幌,011659,011,659,,未使用,
001,札幌,011660,011,660,,未使用,
001,札幌,011661,011,661,東日本電信電話株式会社,使用中,
001,札幌,011662,011,662,東日本電信電話株式会社,使用中,
001,札幌,011663,011,663,東日本電信電話株式会社,使用中,
001,札幌,011664,011,664,東日本電信電話株式会社,使用中,
001,札幌,011665,011,665,東日本電信電話株式会社,使用中,
001,札幌,011666,011,666,東日本電信電話株式会社,使用中,
001,札幌,011667,011,667,東日本電信電話株式会社,使用中,
001,札幌,011668,011,668,東日本電信電話株式会社,使用中,
001,札幌,011669,011,669,東日本電信電話株式会社,使用中,
001,札幌,011670,011,670,,未使用,
001,札幌,011671,011,671,東日本電信電話株式会社,使用中,
001,札幌,011672,011,672,,未使用,
001,札幌,011673,011,673,,未使用,
001,札幌,011674,011,674,,未使用,
001,札幌,011675,011,675,,未使用,
001,札幌,011676,011,676,東日本電信電話株式会社,使用中,
001,札幌,011677,011,677,,未使用,
001,札幌,011678,011,678,,未使用,
001,札幌,011679,011,679,,未使用,
001,札幌,011680,011,680,,未使用,
001,札幌,011681,011,681,東日本電信電話株式会社,使用中,
001,札幌,011682,011,682,東日本電信電話株式会社,使用中,
001,札幌,011683,011,683,東日本電信電話株式会社,使用中,
001,札幌,011684,011,684,東日本電信電話株式会社,使用中,
001,札幌,011685,011,685,東日本電信電話株式会社,使用中,
001,札幌,011686,011,686,東日本電信電話株式会社,使用中,
001,札幌,011687,011,687,,未使用,
001,札幌,011688,011,688,東日本電信電話株式会社,使用中,
001,札幌,011689,011,689,,未使用,
001,札幌,011690,011,690,,未使用,
001,札幌,011691,011,691,東日本電信電話株式会社,使用中,
001,札幌,011692,011,692,,未使用,
001,札幌,011693,011,693,,未使用,
001,札幌,011694,011,694,東日本電信電話株式会社,使用中,
001,札幌,011695,011,695,東日本電信電話株式会社,使用中,
001,札幌,011696,011,696,,未使用,
001,札幌,011697,011,697,,未使用,
001,札幌,011698,011,698,,未使用,
001,札幌,011699,011,699,東日本電信電話株式会社,使用中,
001,札幌,011700,011,700,東日本電信電話株式会社,使用中,
001,札幌,011701,011,701,,未使用,
001,札幌,011702,011,702,東日本電信電話株式会社,使用中,
001,札幌,011703,011,703,,未使用,
001,札幌,011704,011,704,東日本電信電話株式会社,使用中,
001,札幌,011705,011,705,,未使用,
001,札幌,011706,011,706,東日本電信電話株式会社,使用中,
001,札幌,011707,011,707,東日本電信電話株式会社,使用中,
001,札幌,011708,011,708,東日本電信電話株式会社,使用中,
001,札幌,011709,011,709,東日本電信電話株式会社,使用中,
001,札幌,011710,011,710,,未使用,
001,札幌,011711,011,711,東日本電信電話株式会社,使用中,
001,札幌,011712,011,712,東日本電信電話株式会社,使用中,
001,札幌,011713,011,713,,未使用,
001,札幌,011714,011,714,,未使用,
001,札幌,011715,011,715,,未使用,
001,札幌,011716,011,716,東日本電信電話株式会社,使用中,
001,札幌,011717,011,717,東日本電信電話株式会社,使用中,
001,札幌,011718,011,718,,未使用,
001,札幌,011719,011,719,,未使用,
001,札幌,011720,011,720,,未使用,
001,札幌,011721,011,721,東日本電信電話株式会社,使用中,
001,札幌,011722,011,722,東日本電信電話株式会社,使用中,
001,札幌,011723,011,723,東日本電信電話株式会社,使用中,
001,札幌,011724,011,724,,未使用,
001,札幌,011725,011,725,,未使用,
001,札幌,011726,011,726,東日本電信電話株式会社,使用中,
001,札幌,011727,011,727,東日本電信電話株式会社,使用中,
001,札幌,011728,011,728,東日本電信電話株式会社,使用中,
001,札幌,011729,011,729,東日本電信電話株式会社,使用中,
001,札幌,011730,011,730,,未使用,
